id,filename,title,price,url
1,1.jpeg,"Nike Air270 (36-45)","2100" ,https://www.shopier.com/noktaayakkabi/50694343
2,2.jpeg,"Goldengoose Silver (36-40)","3099" ,https://www.shopier.com/noktaayakkabi/50517952
3,3.jpeg,"Nike Initiator (36-44) ","2099" ,https://www.shopier.com/noktaayakkabi/50517188
4,4.jpeg,"Nike p6000 (36-46)","2099" ,https://www.shopier.com/noktaayakkabi/50517164
5,5.jpeg,"Adidas Superstar (36-45)","1300" ,https://www.shopier.com/noktaayakkabi/44394060
6,6.jpeg,"Nike Jordan 1 Low Dark-red-Black","1099" ,https://www.shopier.com/noktaayakkabi/43639776
7,7.jpeg,"Adidas Terrex (36-44)","1999" ,https://www.shopier.com/noktaayakkabi/42802940
8,8.jpeg,"Nike Jordan Pembe (36-40)","1249" ,https://www.shopier.com/noktaayakkabi/42350927
9,9.jpeg,"Alexander Mcqueen White (36-44)","1700" ,https://www.shopier.com/noktaayakkabi/41690292
10,10.jpeg,"Calvin Klein Black-White (36-44)","999" ,https://www.shopier.com/noktaayakkabi/41689872
11,11.jpeg,"Lacoste Elite Active Black-White (36-44)","1800" ,https://www.shopier.com/noktaayakkabi/41689818
12,12.jpeg,"Lacoste Elite Active White-Green (36-44)","1800" ,https://www.shopier.com/noktaayakkabi/41689793
13,13.jpeg,"Adidas Spezial Red (36-44)","1750" ,https://www.shopier.com/noktaayakkabi/41689770
14,14.jpeg,"Adidas Spezial Blue (36-40)","1750" ,https://www.shopier.com/noktaayakkabi/41689744
15,15.jpeg,"Lacoste Black-White (40-44)","1200" ,https://www.shopier.com/noktaayakkabi/41689712
16,16.jpeg,"Lacoste Full White (40-44)","1200" ,https://www.shopier.com/noktaayakkabi/41689675
17,17.jpeg,"Alexander Mcqueen Black (36-45)","1700" ,https://www.shopier.com/noktaayakkabi/41689597
18,18.jpeg,"Calvin Klein White-Gray Logo (36-44)","999" ,https://www.shopier.com/noktaayakkabi/41689541
19,19.jpeg,"Calvin Klein White-Black Logo (36-44) ","999" ,https://www.shopier.com/noktaayakkabi/41689482
20,20.jpeg,"Lufian White (40-44)","1200" ,https://www.shopier.com/noktaayakkabi/41689455
21,21.jpeg,"Lufian Siyah-Beyaz (40-44)","1200" ,https://www.shopier.com/noktaayakkabi/41689430
22,22.jpeg,"Adidas Spezial Black (36-44)","1750" ,https://www.shopier.com/noktaayakkabi/41171904
23,23.jpeg,"Adidas Spezial Brown (36-44) ","1750" ,https://www.shopier.com/noktaayakkabi/41171855
24,24.jpeg,"Nike Dunk Low Pro White-Red-Black Swoosh (36-45) ","1100" ,https://www.shopier.com/noktaayakkabi/40842449
